"CORP","Quarterly Data","Current Ratio","Long-term Debt / Capital","Debt/Equity Ratio","Gross Margin","Operating Margin","EBIT Margin","EBITDA Margin","Pre-Tax Profit Margin","Net Profit Margin","Asset Turnover","Inventory Turnover Ratio","Receiveable Turnover","Days Sales In Receivables","ROE - Return On Equity","Return On Tangible Equity","ROA - Return On Assets","ROI - Return On Investment","Book Value Per Share","Operating Cash Flow Per Share","Free Cash Flow Per Share","Basic EPS","SH LOG10","Bin"
"XLNX","3/31/2006","4.7772","0","0","62.2742","25.2851","25.2851","0","27.0517","23.4453","0.1488","0.8864","2.4322","37.0042","4.0581","4.2904","3.4895","4.0581","7.9648","0.23","0.1674","0.31","0.0042855538103489","1"
"XLNX","6/30/2006","5.4158","0","0","60.1009","19.3333","19.3333","0","22.3256","17.137","0.1538","0.9867","3.1624","28.4594","3.0382","3.2105","2.6358","3.0382","7.9887","0.4392","0.402","0.24","-0.050790175910872","1"
"XLNX","9/30/2006","5.3716","0","0","61.3468","19.9401","19.9401","0","25.5336","19.9165","0.1491","0.9076","2.5087","35.8752","3.4485","3.6422","2.9686","3.4485","8.0246","0.3556","0.3141","0.27","-0.013633661985085","1"
"XLNX","12/31/2006","5.3149","0","0","60.5163","18.2351","18.2351","0","22.878","19.4152","0.1454","0.9608","3.0514","29.4947","3.2802","3.4639","2.8237","3.2802","8.0389","0.5181","0.4566","0.26","0.035324832801111","1"
"XLNX","3/31/2007","5.6041","0.3606","0.5639","62.1079","17.8948","17.8947","0","22.8366","19.7591","0.1395","0.9626","2.4327","36.9957","4.943","5.3425","2.7561","3.1607","5.991","0.2922","0.11","0.27","0.033680409045471","1"
"XLNX","6/30/2007","6.0891","0.345","0.5268","62.2172","21.8581","21.8581","0","24.893","18.9001","0.1348","1.1569","2.1398","42.0605","4.4451","4.7742","2.5481","2.9114","6.3532","0.4166","0.3652","0.28","0.017208584976586","1"
"XLNX","9/30/2007","5.995","0.3517","0.5424","61.7612","21.2134","21.2134","0","25.5973","20.1617","0.1361","1.3192","1.8804","47.8631","4.8695","5.2355","2.7444","3.1571","6.2656","0.4814","0.4381","0.30","-0.01034280455658","1"
"XLNX","12/31/2007","5.5998","0.3656","0.5764","63.2663","24.2933","24.2933","0","27.323","21.8178","0.1478","1.3208","2.0707","43.4627","5.9717","6.4442","3.2244","3.7883","6.0588","0.7371","0.6975","0.36","-0.077456763734715","1"
"XLNX","3/31/2008","5.3431","0.3742","0.5981","63.4324","24.5928","24.5929","0","24.1458","19.2843","0.1517","1.3357","1.9096","47.1314","5.4878","5.9343","2.9246","3.4341","5.9597","0.3104","0.292","0.31","0.035814811065248","1"
"XLNX","6/30/2008","5.1338","0.3831","0.621","63.849","21.9236","21.9236","0","21.8943","17.0361","0.158","1.2574","2.3761","37.8768","5.1676","5.6003","2.6909","3.1879","5.8224","0.5643","0.5291","0.30","0.026597768493795","1"
